"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","669","13.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","4,508","24.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","15,406","8.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","3,301","9.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","1,927","12.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","1,193","7.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","248","5.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","823","10.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","2,122","5.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","4,236","7.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","1,228","6.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","3,791","4.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","5,469","9.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","1,935","3.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","4,998","4.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","1,189","18.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","4,900","6.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","2,109","8.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","850","17.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","5,280","2.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","1,389","15.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","945","10.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","10,388","8.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","4,884","10.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","1,922","3.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","4,911","4.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","1,199","19.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","4,655","7.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","2,051","8.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","830","19.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","5,120","3.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","1,327","16.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","932","10.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","11,621","8.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1111)","3,882","15.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1112)","1,859","23.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1113)","1,146","24.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1114)","1,496","17.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1119)","9,031","8.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11191)","661","13.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11192)","193","11.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11193 & 11194 & 11199)","8,177","9.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112111)","12,571","5.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112112)","17","17.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11212)","159","51.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1122)","686","19.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1123)","2,516","14.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1124)","1,899","30.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1125 & 1129)","4,190","17.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCER DECISIONMAKING","PRODUCER DECISIONMAKING: (DAY TO DAY DECISIONS)","38,366","3.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCER DECISIONMAKING","PRODUCER DECISIONMAKING: (ESTATE OR SUCCESSION PLANNING)","24,403","4.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCER DECISIONMAKING","PRODUCER DECISIONMAKING: (LAND USE OR CROP DECISIONS)","33,974","3.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCER DECISIONMAKING","PRODUCER DECISIONMAKING: (LIVESTOCK DECISIONS)","28,222","4.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCER DECISIONMAKING","PRODUCER DECISIONMAKING: (RECORD KEEPING OR FINANCIAL MGMT)","35,029","3.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (1 PRODUCERS)","21,575","5.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (2 PRODUCERS)","15,546","4.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)","2,130","20.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)","201","54.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (ETHNICITY = HISPANIC)","486","54.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","18,751","4.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (GENDER = MALE)","36,349","4.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (MILITARY SERVICE = ACTIVE DUTY NOW OR IN THE PAST)","7,348","7.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = AMERICAN INDIAN OR ALASKA NATIVE)","490","21.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = AMERICAN INDIAN OR ALASKA NATIVE, ALONE OR COMBINED WITH OTHER RACES)","705","25.1"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = ASIAN)","229","85.3"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = ASIAN, ALONE OR COMBINED WITH OTHER RACES)","250","78.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN)","1,316","30.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","1,343","30.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = MULTI-RACE)","259","37.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER)","18","(H)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER, ALONE OR COMBINED WITH OTHER RACES)","29","(H)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = WHITE)","37,606","2.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","37,711","2.9"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","PRODUCERS, AGE","PRODUCERS, AGE: (LESS THAN 36 YEARS)","3,833","15.1"
